State,District,Year,Month,Rainfall,Crop,Price
Maharashtra,Nashik,2018,1,35,Sunflower,128.3
Maharashtra,Nashik,2018,2,9,Urad,135.7
Maharashtra,Nashik,2018,3,0,Wheat,132.5
Maharashtra,Parbhani,2018,4,6,Arhar,135.7
Maharashtra,Raigad,2018,5,6.6,Bajra,140.8
Maharashtra,Raigad,2018,6,0,Barley,146.7
Maharashtra,Nashik,2012,7,23,Copra,104.6
Maharashtra,Akola,2012,8,0,Cotton,105.4
Maharashtra,Gondia,2012,9,0,Gram,104.4
Maharashtra,Amravati,2012,10,3,Groundnut,105.8
Maharashtra,Amravati,2012,11,3,Jowar,116
Maharashtra,Amravati,2012,12,0,Jute,119.4
Maharashtra,Amravati,2012,1,0,Maize,117.4
Maharashtra,Amravati,2012,2,0,Masoor,120.7
Maharashtra,Bhandara,2012,3,0,Moong,121.7
Maharashtra,Latur,2013,4,0,Niger,121.6
Maharashtra,Latur,2013,5,0,Paddy,123.6
Maharashtra,Latur,2013,6,0,Ragi,122.8
Maharashtra,Thane,2013,7,0,Rappe,120.1
Maharashtra,Yavathmal,2013,8,0,Safflower,118.9
Maharashtra,Nagpur,2013,9,0,Sesamum,121.9
Maharashtra,Nagpur,2013,10,0.6,Soyabean,122.3
Maharashtra,Sindudurg,2013,11,0.8,Sugarcane,123.1
Maharashtra,Sindudurg,2013,12,0.6,Sunflower,124.6
Maharashtra,Sindudurg,2013,1,0.8,Urad,125.7
Maharashtra,Sindudurg,2013,2,0,Wheat,127.6
Maharashtra,Aurangabad,2013,3,0,Arhar,128.6
Maharashtra,Aurangabad,2014,4,30,Bajra,130
Maharashtra,Aurangabad,2014,5,0,Barley,128.8
Maharashtra,Aurangabad,2014,6,0,Copra,127.5
Maharashtra,Thane,2014,7,0,Cotton,123.5
Maharashtra,Thane,2014,8,0,Gram,120.9
Maharashtra,Thane,2014,9,0,Groundnut,120.4
Maharashtra,Thane,2014,10,1.6,Jowar,121.9
Maharashtra,Beed,2014,11,0,Jute,122.5
Maharashtra,Yavathmal,2014,12,0,Maize,121.8
Maharashtra,Yavatmal,2014,1,14.2,Masoor,122.3
Maharashtra,Wardha,2014,2,0,Moong,123.7
Maharashtra,Chandrapur,2014,3,0,Niger,125.8
Maharashtra,Chandrapur,2015,4,0,Paddy,126.3
Maharashtra,Osmanabad,2015,5,0,Ragi,125.9
Maharashtra,Washim,2015,6,0,Rappe,125.9
Maharashtra,Yavathmal,2015,7,0,Safflower,125.1
Maharashtra,Yavathmal,2015,8,51.2,Sesamum,124.1
Maharashtra,Nashik,2015,9,15,Soyabean,122.3
Maharashtra,Nashik,2015,10,15,Sugarcane,124.8
Maharashtra,Nashik,2015,11,6,Sunflower,126.1
